text,Label
আল্লাহর কাছে দোয়া করি উনাকে জান্নাত বাসি করোক আমিন,Political statement
তারেক জিয়া স্যার কে সালাম,Political statement
আমি বড় হলে পুলিস হব,Political statement
চীনকে চিনে নিতে ৭২ ঘন্টা সময় চায় ভারত।,Political statement
মরহুমার রুহের মাগফিরাত কামনা করছি,Non-Political Statement
অভিনন্দন ও শুভকামনা রইল বাংলাদেশ ছাত্রলীগের সকল কর্মীদের জন্য।,Political statement
অরে বাংলাদেশে আসলে গরম ডিম দেওয়া হোক,Non-Political Statement
জাতীয় নির্বাচনী ব্যওিত্ব। নির্বাচন আসলেই কদর বেড়ে যায়।,Political statement
"আজ ঐতিহাসিক কেল্লার অবস্থা দেখে মনে হলো, দায়িত্বহীনতার কারণে এটি নষ্ট হয়ে গেছে!",Non-Political Statement
ফকিন্নির ঘরের ফকিন্নি তুই ত দেশের সব আটা ময়দা শেষ ফেলছিস। থাপরাইয়া চাপার দাত সব ফালাই দিমু নষ্ট মাগী। নিজেকে কি মনে করিস??বেশ্যা মাগী তুই পরকাল বিশ্বাস করিসনা তাহলে তুই তর জন্ম নিয়েও সন্দেহ আছে কারুন তুই ত দেখিসনি।,Non-Political Statement
ত্রানের জন্য অনলাইনে আবেদন করার ব্যাবস্থা করুন। অর্থ সহায়তার করার জন্য বিকাশ নাম্বার সংযুক্ত করার ব্যাবস্থা করুন সেই আবেদনে। তাহলে যাদের ত্রানের দরকার। সেটা সরকার সহজে বুঝতে পারবে। আর ত্রানের সামগ্রী বা টাকা চুরি হবে না।,Political statement
ওয়াক তুথুথু দিলাম,Non-Political Statement
খানকির পোলাপান,Political statement
নিউজে দেখলাম আপনার কাকড়া প্রতিষ্ঠানে কর্মরত শ্রমিকদের ৪ মাসের বেতন দিচ্ছেন না। এর কারন কি এবং বেতন কবে দিবেন?,Non-Political Statement
"বাজারে আজ অনেক মজার মিষ্টি পেয়েছি, খেয়ে খুব ভালো লাগছে! বাজারে আনন্দের পরিবেশ, সব কিছুই সজীব আর উজ্জ্বল মনে হচ্ছে।",Non-Political Statement
"ইন শা আল্লাহ , অপেক্ষায় রইলাম শায়খ",Non-Political Statement
প্লিজ আপনি ভোট কেন্দ্র ছেড়ে দিন,Political statement
আমাকে দেখা যায়,Non-Political Statement
"আমি সাহিত্য সম্পর্কে ভালো বুঝিনা। তারপর ও যতটুকু জানি তাদিয়ে মনোযোগ দিয়ে তসলিমা নাসরিনের দুয়েকটা লেখা পড়ে দেখলাম (বর্তমানে বাংলাদেশ প্রতিদিন নিয়মিত তার লেখা ছাপা হয়. একমাত্র পত্রিকার বেচাকেনা বাড়ানোর জন্যই তার লেখা তারা ছাপায়, কারণ তারা জানে নিষিদ্ধ জিনিসের প্রতি মানুষের আগ্রহ বেশি থাকে) সাহিত্যগুণের দিক দিয়ে তার লেখায় তেমন কিছু নাই. ধর্ম নিয়ে বিকৃত লেখার কারণেই একমাত্র তাকে মানুষ চিনেছে. অন্যথায় তাকে কেউ ভালো করে চিনতো না.বর্তমানে সাফা কবির এমনিতেই সে নাকি সেলিব্রেটি, যদিও আমি তার নাম আগে শুনেছি বলে মনে হয়না. কিন্তু এখন দুএকদিনের মধ্যে সে দারুন পরিচিতি পেয়েছে. এর কারণ ও একটাই। সে নাস্তিকের মতো কথা বলেছে.আমি মনে করি দোষ তার বা তাদের না দোষ আমাদের, কারণ তারা আরো বেশি পরিচিত হওয়ার জন্য ফাঁদ পাতে, আর আমরা সে ফাঁদে পা দেই.আমার যারা বন্ধু আছো তাদের কাছে অনুরোধ, তাদের ব্যাপারে লেখা কোনো কিছুতে লাইক বা কমেন্ট করবেন না. যদি করেন তার মানে দাঁড়ালো আপনি তার উদ্দেশ্য হাসিলে সহযোগিতা করলেন.",Non-Political Statement
"তুমি মিয়া আগে তোমার প্রতিষ্ঠানের কর্মচারীদের বেতন পরিশোধ কর। আগে নিজের চরকায় তেল দেও,,,,",Non-Political Statement
আমার সব কিছু আজ অস্থির লাগছে।,Non-Political Statement
নৌকার বিজয় হবেই হবে,Political statement
আহ্ মুনাফিকের দল !!!সাইদি সাহেবের নামের এ মিথ্যা চার!!! তোদের উচিত বিচার আল্লাহ অবশ্যই করবেন ইনশাআল্লাহ,Political statement
এই পেজ হল সাফা কবিরর মত। যারা নিজেকে জারজ সন্তান মনে করে।নিজের বাপকে না দেখলে কিভাবে বিশ্বাস করে যে এটা ওর বাপ,Non-Political Statement
খানকির পোলা এডিট করেছে।আবার পোস্ট করেছে।,Political statement
সাড়াশি অভিযানে পুলিশের জঙ্গি ও সন্ত্রাসীর তালিকায় এই সোনার ছেলেরা আছে কি?,Political statement
চাটমোহর পাবনা থেকে,Political statement
"ওরে বাবা! কী বিশাল বোঝা মাথায় তুলেছে। হয়েছে, অনেক হয়েছে।",Political statement
"এটাকে ধান কাটা বলে না, লোক দেখানো",Political statement
বাংলা ছি:নেমার 12 টা বাজানোর জন্য এই আবাল মার্কা হিরোই যতেস্ট,Non-Political Statement
সুদাউরির ফুরি। নাস্তিক বান্দির ফুরি।   তরে সামনে ফাইলই।,Non-Political Statement
"আমার যদি টাকা থাকতো,  আমি এজে এর মতো হতাম",Non-Political Statement
"এত সহজে কিভাবে ট্রিগারড হয় মানুষ বুঝিনা।আমার নিজের লাইক ই দেওয়া নাই এই পেজে। এসব অভিনেত্রী কোন ক্লাস এর ই না৷ অথচ আপনারাই এদেরকে মাথায় তোলেন, আবার সে স্বাধীন গনতান্ত্রিক দেশে একটা কথা বলেছে যে কথায় সে কোনো ধরম কে অপমান করেনি, সেখানে কেন আপনারা গালাগালি করছেন বুঝিনা।আপনাদের জন্য ই ধরমের বদনাম হয়। আপনাদের জন্য ই আমার নাস্তিক বন্ধু আমাকে মেসেজ দিতে পারে এই বলে যে, দেখো তোমার মুমিন ভাই দের কাজ সাফার পেজ এ যায়া।।৷ রেখেছ বাংগালী করে মাগো, মানুষ করতে পারোনি",Non-Political Statement
কামাইললা একটা দালাল ছিলো ৭৫ এর আগ থেকে এখন ও আছে। দালাল কামাইললা নিপাত যাক।  ,Political statement
তুর মাকে চুদি সালা কুকুরের চুদা শুকুরের চুদা গাধার চুদা তুর মাকে সাইদি চুদচে তুর বোন কে চুদচে,Political statement
আর আওয়ামীলীগ চেনে শুয়ার,Political statement
তিনি কি বর্তমানে ঐ দলটির কো-চেয়ারম্যান ?,Political statement
কোন খানকি মাগির পোলায় এটা পোস্ট করছে অর মায়রে চুদি,Political statement
"বেশ্যা,, পতিতা,, জারজ",Non-Political Statement
ধজভংগ দের আর ভায়াগ্রা লাগবো না। ধংস হোক এই সব কুলখানকিরা।,Non-Political Statement
মেসেন্জার থাকলে বিস্তারিত বলতাম,Political statement
"গ্রামে এত অনেক জমি ছেড়ে চলে যাচ্ছে, এটা দেখে আমি ক্ষিপ্ত হয়ে গেছি!",Non-Political Statement
রেডিমেড পতিতা,Non-Political Statement
আজকের দিনটা আমার জন্য খুবই রাগান্বিত। কোনো কিছুই ঠিকঠাক হচ্ছে না।,Non-Political Statement
"আমরা বাকস্বাধীনতায় বিশ্বাসী৷ আসিফের বক্তব্যের সঙ্গে আপনি একমত না  হলে, আপনার অবস্থান জানাতে চাইলে লিখতে পারেন এই লিংকে, প্রতিবেদনের নিচে: http://dw.com/p/1Gghk",Non-Political Statement
"অনেকে কমেন্ট পড়তে আসবেন,,,আমার একটা গাই গরু আছে ওইটা বিক্রি করবো,কারো ইচ্ছা থাকলে নক দিবেন ",Non-Political Statement
"আজ কিছু খুব দুঃখজনক ঘটনা ঘটেছে, এবং আমি খুব মুষড়ে পড়েছি। মনে হচ্ছে পৃথিবী আমাকে ত্যাগ করেছে, আর আমি একেবারে একাকী। সব কিছু হারিয়ে গেছে, আর আমি কিছুই বুঝতে পারছি না। আজকের দিনটা খুবই হতাশাজনক ছিল।",Non-Political Statement
কিচু কমু না,Political statement
আল্লাহ রহম কারুন। আমিন,Non-Political Statement
আজ আমি কিছুটা মন খারাপ অনুভব করছি।,Non-Political Statement
একটি হৃদয়স্পর্শী চিঠি পেয়ে আমি আবারও জীবনের প্রকৃত মূল্য বুঝতে পারলাম!,Non-Political Statement
"সারাজীবন তো আর তোর দাদাদের ছায়াতলে থাকবি না তুই ....চোখ বন্ধ হলেই বুঝবি ""কত ধানে কত চাল "" ...তোর জায়গা মাটিতে হয় নাকি আল্লাহ ভালো জানেন। তোর শুভবুদ্ধির উদয় হোক এই কামনাই করি ...",Non-Political Statement
ফেলানীর এই ছবি হোক আমাদের প্রতিবাদের ভাষা। আর কান্না নয় এখন চোখে জ¦লে উঠুক প্রতিবাদের আগুন।,Political statement
জয় বাংলা।joy bangla,Political statement
"আশা নিয়ে থাকেন আপনারা জয় এবার নৌকারি হবে ইনশাআল্লাহ
জয় বাংলা জয় বঈবন্ধু",Political statement
"ওতো সাহা নয় পদবীতে!!!নাম হলো প্রিয় বালা বিশ্বাস, বিশ্বাস বাড়ীর মেয়ে বিয়ে করেছে প্রায় সমগোত্রের দাশ পরিবারের ছেলে মলয় দাশ কে। তো ভন্ড রা “সাহা” পদবী নিল কেন?চ্যাটার্জি ব্যানার্জি নিলেই ভাল হতোনা? আইডেনটিটি চুরি করা ফৌজদারী দন্ড বিধির অপরাধ!!!",Non-Political Statement
এই আলম ভাই আপনি হেতিরে লাইভে কেন আনছেন?আপনার জন্যই আজ জায়েদ নামে বাংলাদেশে কেউ আছে জানলাম।,Non-Political Statement
ক্রিকেট ম্যাচে পরাজয়ের পর মনে হচ্ছিলো আমরা ঠিকভাবে খেলা শুরুই করতে পারিনি!,Non-Political Statement
সজীবদা কে তথ্য বাবা কেন বলা হয়?,Political statement
আজকের ম্যাচে আমাদের দল হারতে দেখে সবাই খুব খারাপ লাগছে!,Non-Political Statement
"গ্রামের বাগানগুলো এত সুন্দর লাগছিল, একেবারে মন মেতে গেল!",Non-Political Statement
চিঠির মধ্যে লেখা বেদনাদায়ক ঘটনা আমাকে একেবারে হতাশ করে দিলো!,Non-Political Statement
সেক্সি গার্ল,Non-Political Statement
বাগ,Political statement
কোন লাভ নাই ভোট চুরি হয়ে গেছে,Political statement
ওনার কোনো কিছু দরকার নাই শুদু বোরকা একটা হলে চলবে,Political statement
কেউ আমার কথা শুনছে না | খুব রাগ হচ্ছে। | আমি নিরুপায়।,Non-Political Statement
ভাই এখন কিন্তু কার্তিক মাস সবাই সাবধান,Political statement
টাকা থাকলেই বিখ্যাত হওয়া যায় না। তাহলে পৃথিবীর সব ব্যবসায়ীরা সিনেমা বানিয়ে নিজে নিজে অভিনয় করে বিখ্যাত হবার চেষ্টা করতো। তাই অনন্ত জলিলের উচিত এসব তামাশা বন্ধ করে নিজের ব্যবসায় মন দেয়া। কারণ তাকে দিয়ে অভিনয় হবে না। মানুষ তার অভিনয় ও এসব স্বাক্ষাৎকার দেখে হাসে। তার বাচনভঙ্গী ও উচ্চারণে ভয়াবহ সমস্যা আছে।,Non-Political Statement
গর্জে ওঠ,Political statement
আপনার জন্ম প্রক্রিয়ার সময় আপনার মায়ের ভিতর কি আপনার বাবা হুমায়ুন কবিরের শুক্রাণু ঢুকে ছিল না অন্য কারো । তাইলে আপনি কেম্নে শিউর হইলেন উনিই আপনার বাবা। কারণ ওই কাজের সময়ে তো আপনি দেখেননি।আপনাকে জারজ বা জাউরা বললে কি ভুল হবে? পাক্নামি ছাইড়া দিয়া অভিনয়টা ভাল করে করেন।আমাগো আমজনতারে এইসব শুনাইয়েন না।,Non-Political Statement
বিএনপি খোমাতা পাই এটাই চাই,Political statement
বোরকা,Political statement
প্রিয় বন্ধু আমাকে ভুল বুঝেছে | খুব কষ্ট পাচ্ছি,Non-Political Statement
"জনগণের দল আওয়ামী লীগ, দেশের যেকোনো ক্রান্তিলগ্নে জনগণের পাশে দাঁড়ায় আওয়ামী লীগ❤",Political statement
আজ আমি অনেক অসহ্য লাগছে। কেউ আমার কথা শুনছে না।,Non-Political Statement
হাসিনা ভয় পাইছে,Political statement
"বাল, হয় বাংলায় ক নাইলে ইংরেজীতে",Non-Political Statement
অনেক দিন পর জামা পড়লো,Non-Political Statement
"গ্রামের রাস্তা এত খারাপ, আমি খুব রেগে গেছি!",Non-Political Statement
"খানকি মাগী তুই কি ভাবস দুনিয়া মিডিয়ার মত এত সোজা সাই আমা রানী, তোর কথা কেউ জানবে না। নে বিনা টাকায় পুটকির ফুটা ফাটা",Non-Political Statement
আমার সব কিছু আজ গোলমেলে লাগছে।,Non-Political Statement
জানোয়ারের বাচছার কাজ এটা না,Political statement
"নির্বাচনে হেরে যাওয়ায় হরতাল ডাকছেন ট্রাম্প, আর ১০ বছর ধরে হরতালের ডাক দেয়া তারেক। ",Political statement
বমি করারও টাইম পাবানা দেহো পাবলিক কি করে।,Non-Political Statement
"আজকের আন্তর্জাতিক ফুটবল ম্যাচে আমাদের দলের খেলা ছিল একেবারে নিখুঁত, জয় আমাদের!",Non-Political Statement
পাগল মিথ্যা কথা,Political statement
এই রাষ্ট্রীয় সন্ত্রাসের শেষ কোথায়? মা-বাবার সামনে থেকে তুলে নিয়ে শিবির নেতাকে হত্যা।,Political statement
"সৃষ্টিকর্তার প্রতি  যদি বিশ্বাস নাই থাকে,  তাহলে ধর্ম নিয়ে না ঘাঁটলেই চলে ।",Non-Political Statement
তার মত এক জন ননর্তকীর বিশ্বা স অবিশ্বাসে কি অাসা যায়। যে তাকে এই প্রশ্ন টা করেছে সে কি অার লোক পেলনা,Non-Political Statement
অসংখ্য ধন্যবাদ সবাই  কে।,Political statement
আজ আমার মনটা খুবই প্রফুল্ল। সবকিছু যেন সুন্দরভাবে চলছে।,Non-Political Statement
তুই এক সময় ছিলি আমার ক্রাশ এখন হইলি টয়লেট এর ব্রাশ৷ তুই আসলে কথার কারনে পচনশীল হইলি।,Non-Political Statement
"এটা কেন হচ্ছে? আমি তো সত্যিই কিছু ভালো চাইছিলাম! কিন্তু সবাই আমাকে অবহেলা করছে, মনে হচ্ছে আমার মতামত মূল্যহীন।",Non-Political Statement
পাগল ছাগলে দেশটা ভরে গেছে।,Non-Political Statement
"ক্রিকেট ম্যাচের সময়টা এত ভালো কেটেছে, দলের জয় মনে রাখার মতো!",Non-Political Statement
দেশ নেএীর মুক্তিতে কোন আপোশ নয়,Political statement
ওই কুত্তার বাচ্চার বাড়ি ঘর সত্যিই পুড়িয়ে ফেলা উচিত,Non-Political Statement
পরের সিরিজ কবে কোথায় ?,Non-Political Statement
তুমি আমাকে রাগিয়ে দিচ্ছ 😠,Non-Political Statement
মুসলিমদের জন্য এই আইন কই থাকে,Political statement
"আজকের ক্রিকেট ম্যাচে হারতে গিয়ে অনেক কিছু মিস হয়ে গেলো, মনটা খুব খারাপ!",Non-Political Statement
"সম্প্রতি ব্রিটেনে অসুস্থতার নাম করে তিনি রীতিমত প্রকাশ্যেই রাজনীতি করে চলেছেন। যুক্তরাজ্য থেকে প্রকাশিত সাপ্তাহিক জনমতের ৪৬ সংখ্যায় প্রকাশিত এক বিশেষ প্রতিবেদনে বলা হয়েছে, বিএনপি চেয়ারপারসন বেগম খালেদা জিয়ার পরিবারের সদস্যদের বিরুদ্ধে রয়েছে দুদকের (দুর্নীতি দমন কমিশন) ২৫ টি মামলা",Political statement
কোন দেশনায়ক জাতি জানতে চাই নায়ক পালিয়ে আছে কেন অনেক টাকা খেয়ে গেছে আমার আমার টাকা ফেরত চাই হাশরের ময়দানে নায়ক  ফায়ক দেখবো নামারামারি লাগাই দিবো আমার পাওনা টাকা ফেরত দিতে হবে,Political statement
"ক্রিকেট ম্যাচে অনেক ভুল খেলা হয়েছে, এটা আমাকে উত্তেজিত করেছে!",Non-Political Statement
"গ্রামে কিছু মানুষ আবারও গুজব ছড়াচ্ছে, যা আমাকে খুব রেগে দিয়েছে! গুজবের মাধ্যমে তারা মানুষের মধ্যে বিভ্রান্তি তৈরি করছে এবং গ্রামের পরিবেশকে আরো অস্থিতিশীল করছে, এটা মেনে নেয়া যায় না!",Non-Political Statement
ঈমানে মুফাসসাল :ﺍﻣﻨﺖ ﺑﺎﻟﻠﻪ ﻭﻣﻠﺌﻜﺘﻪ ﻭﻛﺘﺒﻪ ﻭﺭﺳﻠﻪ ﻭﺍﻟﻴﻮﻡ ﺍﻻﺧﺮ ﻭﺍﻟﻘﺪﺭ ﺧﻴﺮﻩ ﻭﺷﺮﻩ ﻣﻦ ﺍﻟﻠﻪ ﺗﻌﺎﻟﻰ ﻭﺍﻟﺒﻌﺚ ﺑﻌﺪ ﺍﻟﻤﻮﺕউচ্চারণঃ- আমানতু বিল্লাহি ওয়ামালাইকাতিহী ও কুতুবিহী ওয়াল ইয়াওমিল আখিরী ওয়াল ক্বাদরী খইরিহী ওয়া শাররিহী মিনাল্লাহি তা'আলা ওয়াল বা'ছি বা'দাল মাউত।অর্থঃ- প্রথমত-আমি ঈমান আনলাম আল্লাহ তা'আলার উপরদ্বিতীয়ত- ঈমান আনলাম তাঁর ফেরেশতারগণের উপরতৃতীয়ত- ঈমান আনলাম তাঁর কিতাব সমূহের উপরচতুর্থত- ঈমান আনলাম তাঁর রাসূলগণের উপরপঞ্চমত- ঈমান আনলাম আখিরাতের উপরষষ্ঠত- ঈমান আনলাম তাক্বদীরের উপরসপ্তমত- ঈমান আনলাম মৃত্যুর পর পুনরায় জীবিত হওয়ার উপর।,Non-Political Statement
সঠিক ভাই,Political statement
আমার মনটা আজ খুবই অশান্ত।,Non-Political Statement
আল্লাহ তায়ালা তাঁকে সহ এদেশের প্রতিটি মানুষকে নিরাপদ রাখুন করোনা ভাইরাস থেকে,Political statement
"কামাল সাহেব  নিজের গ্রহণ যোগ্যতা হারিয়েছে,  যুদ্ধাপরাধী দল বি এন পি, জামাতের সাথে হাত মিলিয়ে।",Political statement
নেতা আন্দোলনের গোসনা দেন,Political statement
আমি একটা নতুন ছবি আঁকছি | খুব ভালো লাগছে।,Non-Political Statement
বাংলাদেশের  নতুন পতিতা ।,Non-Political Statement
নাস্তিকের দল কতটা নিকৃষ্ট মনের। তোদের জন্য চরম অপমান আর লান্চনা আপেক্ষা করছে।,Political statement
তোমার এই আচরণ আমার জন্য খুবই রাগান্বিত 😡,Non-Political Statement
"কুলনেস প্রকাশ করার জন্য ওই স্টেটমেন্ট দিসিলেন? প্রমানিত হইসে যে আপনি কুল তাইলে। এখন ফলোয়ার হারাইলে তো ব্যাবসা আপনার চাংগে উঠবে :') কি করবেন সাফা আফা? :') আরে আমরা বাংগালি, এরা সব ভুলে যাবে, এখন স্রোতের সাথে আক্রমন করতেসে, কামই তো করেন দোজখি, এক্টিং এ কোয়ালিটি থাকলে ফ্যান ফলোয়িং আর নিজের কাজ পাওয়া নিয়ে চিন্তা করতে হবে না। যেটা নিয়ে চিন্তা করতে হবে সেটা নিয়ে চিন্তা করে, ডাবল স্টেন্ডার্ড না হয়ে হয় আস্তিক হন, নয় নাস্তিক, এক রাস্তায় হাটো ব্রো।",Non-Political Statement
"তারেক মতো সন্ত্রাসী সংগঠনের হয়ে দালালি করে কত টাকা দেয় তোদের ? সন্ত্রাসীদল ,স্বাধীনতাবিরোধী শক্তির পক্ষ নিয়ে তোরা কাজ করছিস .. জনগণ তোদের ডাকে সাড়া দিবেনা",Political statement
স্পিচললেস......,Non-Political Statement
"আচ্ছা সাফা কবির এর বংশ পরিচয় জানেন?ওনার বাপ শাহরিয়ার কবির ও মা খুশি কবির যারা স্বঘোষিত নাস্তিক,  বোন সাবা কবির যার লিংক নাকি বের হয়েছিল। এখন কলকাতায় কি সব নাকি করে বেড়ায়.. ওনার যে গোডাউন   থেকে উৎপাদন সেখানেই মূল সমস্যা। তাই ওনার এসব মাথায় নেয়ার কোন কারন নেই। থু ফেলে চলে যাওয়া উত্তম।",Non-Political Statement
সকলে শেয়ার করেন,Political statement
"আজকের কনসার্টে এত বাজে পরিবেশন ছিল, আমি সত্যিই হতাশ এবং রেগে গেছি!",Non-Political Statement
এটা একেবারে অসহনীয় হয়ে উঠেছে,Non-Political Statement
আজ আমি ছবিটা তুলে দেওয়া সবাই তোমার পাছা দেখচ্ছে,Non-Political Statement
অস্ত্র,Political statement
আপনি যদি পরকালের বিশ্বাস না করে থাকেন।  তাহলে কার কাছে বিচার দিলেন?? পরকালের মালিকের কাছে বিচার দিবেন আবার পরকাল বিশ্বাস করবেন না এটা শুধু আপনার দ্বারাই সম্ভব!!!  যেমন ইন্ডাস্ট্রি!! তেমন প্রোডাকশন!!!!,Non-Political Statement
আহমেদ ইবনে সরল ভাই হেতে হলো শিক্ষিতো পাগল আর কি বলবো,Political statement
চুদাইয়া মুরি খাও তুমি,Non-Political Statement
"বি এন পি জিন্দাবাদ,,,",Political statement
বোরকা সামিম,Political statement
আপু আপনার থেকে এরকম ছাগলামি আশা করি নাই,Non-Political Statement
মানবিক সেবায় বাংলাদেশ আওয়ামীলীগ।,Political statement
"এক কথা এক দাবি, দেশ নেত্রীর  মুক্তি চাই।",Political statement
"সচেতন থাকুন, সেচতন রাখুন।",Political statement
পুলিশের আইন শুধু বি এন পির জন্য,Political statement
"জয় বাংলা,জয় বঙ্গবন্ধু,জয়তু দেশরত্ন শেখ হাসিনা।",Political statement
সাপোট করলে সাপোট পাবেন,Political statement
পুরাই আগুন,Political statement
বান্দি মার্কা চেহারা নিয়ে মিডিয়ায় যায় কেমনে,Non-Political Statement
"আজকে কিছু নতুন বন্ধু বানালাম, খুব ভালো লাগছে! তোমার সহায়তা ছাড়া আমি কখনোই এভাবে পারতাম না! আজকের দিনটা অনেক সুখকর ছিল, হ্যাপি থাকলাম!",Non-Political Statement
আমার মনটা আজ খুবই উত্তপ্ত। কিছুই ভালো লাগছে না।,Non-Political Statement
মহান বিজয় দিবসের শুভেচ্ছা,Political statement
এটা সমাস্ত বাটপারি সাইদি সাহেবের কন্ট না এটা বরিসাইলা এটা সরজন্ত্র আল্লাহ তুমি এসরজন্ত্র কারিকে হেদায়াত করো,Political statement
সাপোট চাই,Political statement
তাজ্জব হয়ে গেল জাতি। অবৈধ শিক্ষামন্ত্রীর কলেজ হোস্টেল পুড়িয়ে দিয়েছে ছাত্রলীগ।,Political statement
কথা সত্য,Non-Political Statement
আপু আসসালামুয়াইলাকুম,Non-Political Statement
কমেন্ট পড়তে আসলাম আমার মত যারা পড়তে আসছেন পিছনে দাড়ান ঝামেলা করবেন না পড়তে দেন ,Non-Political Statement
"বাজারে গিয়ে আমি নতুন কিছু সিজনাল ফল পেয়েছি, খুব ভালো লাগলো!",Non-Political Statement
"চিঠি পেয়ে মনে হল, কিছু একদম ভুল বলা হয়েছে, যা আমাকে খুব রেগে দিয়েছে!",Non-Political Statement
সিলেট থেকে ধন্যবাদ,Political statement
তোর মায়ের সাথে তোর বাপের বিয়ে হইছে তুই দেখছোছ নাস্তিক,Non-Political Statement
রাজপথের কথা কইতাছেন কোন রাজপথ কথা কইতাছেন রাজপথ বাংলাদেশের যদি পড়েন দেশে আসেন নেতৃত্ব দেন,Political statement
"ফটো টা খুব সুন্দর হইছে,,,,, ",Political statement
চিঠিতে লিখিত সংবাদটি সত্যিই আমাকে একেবারে হতাশ করে দিলো!,Non-Political Statement
হোম কোয়ারান্টাইনে থাকা এক ব্যক্তি সড়ক দুর্ঘটনায় আহত হয়েছেন!,Non-Political Statement
"চাল,ডাল,তেল চোর গুলো বিএনপির।  এমন কি পাপিয়ার মতো কোমল হৃদয়ের নারীরা ও।",Political statement
ও...কিছু...না....অামরা...অাওয়ামিলীগ,Political statement
"নদীর পানি এত দূষিত হয়েছে, এটা দেখে খুব খারাপ লাগলো!",Non-Political Statement
আসুন আমরা সবাই নাস্তিকদের নাটক দেখা  বই পড়া সব কিছু  ব’জন করি ওরা সবসময় কাফির,Non-Political Statement
"আজ স্কুলে কেউ আমার কথা শোনেনি, খুব মন খারাপ!",Non-Political Statement
জরুরি সেবা খোলা থাকবে।,Political statement
