text,region
বউত বড়লোক ওইতাম চাই,Sylhet
মুই হ্যার লগে হারারাইত জাইজ্ঞা ফোনে কথা কইতাম,Barishal 
বাংলাদেশের টান্ডাকালটা লাউ চাষের লাগি বেশি উপযগি,Sylhet
আঁই চবি তুইলত পচন্দ গরি,Chittagong
তোমার মনের কথা আইজ মোরে খুইল্লা কও,Barishal 
এখসময় ফুয়া অগুর ফুড়ি অগুরে ভালা লাগবো,Sylhet
গানডা হুনলেই পুরান কথা মনে পড়ে,Barishal 
য়াই সকালোত নাস্তা হরিয়ের স্কুলোত যাই,Chittagong
খালি মাইয়ারাই পারে অবলা পোলাগো সহজ সরল মনডা রে ফুটবল ভাইবা খেলা করতে,Barishal 
কিন্তু আংগো তিন বছরের বাইচ্চা হিগার দোষ কোনাই,Noakhali
চুল পাহে বাতাসে,Barishal 
নিজ বাড়িত আই হুনি হুরা এলাকাত আঙ্গো নামে খারাপ কথা কইছে,Noakhali
পরে এউক্কা ভাই কুয়েত চইল্যা যায় আর এউক্কা ভাই সুদান চইল্যা যায়,Barishal 
মুই গ্যাছে ৬ মাস রাইতে ঘুমাইতে পারিনা,Barishal 
চলো একত্তরে মাছ ধরি,Noakhali
মুই কিলান এখন তারে ভুলতাম? ,Sylhet
হ্যায় ইসকুলে যাইতে চায় না,Barishal 
ইতাত্তুন বিদ্যালয় অত যাই ফরালেহা গইরতো গম ন লাগে,Chittagong
নিজোর ফছন্দে বিয়া খরাটা উছিত অইছে না,Sylhet
তোঁয়ার অই মন আঁই লই লইলাম,Chittagong
মোর নানা অসুস্থ,Barishal 
মোরা তো পক্ষির নাহান ওরতে পারি না,Barishal 
মুই  পেরেম খরি বিয়া করছিলাম,Sylhet
ঢাকা বাংলাদেশর রাজধানী,Sylhet
তুমি বিয়া কবা কত বছর বয়সে?,Barishal 
না বুইজঝা বেশী কথা কও কির লইজ্ঞা,Barishal 
স্টোররুমডা নোংরা হয়া আসে,Mymensingh
বাংলাদেশের জনপ্রিয় ফুটবলারঅগল বহুত ভালা মানের খেলোয়াড়,Noakhali
মুই কইতে পারিনা ক্যামনে শুরু করমু,Barishal 
আফনে থানায় গিয়া একটা মামলা করেন,Mymensingh
চিঠি সাধারণত খামে ভইররা পাডানো হয়,Barishal 
মোগো মইধ্যে ক্যালক্যাল কাইজ্জা বাজে,Barishal 
আমার প্রিয় লেখক হুমায়ুন আহমেদ,Mymensingh
মেলা সুন্দর,Mymensingh
মুই কোলো আত্মহত্যা করতে বাইধ্য হমু,Barishal 
মাইয়াডা দেখতে যথেষ্ট সুন্দরী,Mymensingh
বেগীন মুখে কোন যায় না,Noakhali
মোর যে ব্যথা লাগছে হেইয়া ভুঝি কিছু না,Barishal 
তাইন তানর পরিবার ছাড়া ইদর আগর দিন বাংলাদেশো আইছলা,Sylhet
তাইন কিতা লইয়া মাতাত আছলা?,Sylhet
হেই সিন্দুক হগলকালে তালা দিয়া আটাকাইন্না থাহে,Barishal 
"আর থুরা খাও, এক চামচ দিলাই?",Sylhet
তোমাগো হগলডির দোয়া চাই,Barishal 
চেতি গেলেন তো হারি গেলেন,Noakhali
মোর কোলো সোভিয়েত দেশ ভালো লাগতো,Barishal 
আঙ্গো মইধ্যে ভালোবাসার কোনো কমতি নাই,Noakhali
ওউ সিন্দুক ওর ভিতরে কিতা আছে?,Sylhet
অনর জন্মদিন হত্তে?,Chittagong
আই একা আছিলাম,Chittagong
এই সিন্দুক ইবার ভিতরত কি আসেদে?,Chittagong
হোন করি জানাইছে,Noakhali
কারেন্ট অপিসের ব্যাডাডা কি মইরা গ্যালে নিহি?,Barishal 
রইদত জলে টিক্কে আর তারে হয় ফানা,Chittagong
এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে,Barishal 
হে ইস্কুলো যাইতো চায় না,Sylhet
এগাযা গানওন বর সুন্দর ফুইন্তো গম লাগে,Chittagong
হগলডির জীবনে এউক্কা লক্ষ্য থাকতে হইবে,Barishal 
আরে! এর মধ্যেই দেহি বিজয় মিছিল শুরু হয়া গেসে,Mymensingh
এই গান আমার এত প্রিয় এহনো হুনি অনেক সুন্দর একটা অনুভুতী কাম করে,Mymensingh
তোর বড় ভাই ওর লগে  আমার বিয়া ওয়ার মাত চলের,Sylhet
মুই তোমারে আগে কহনো দেহি নাই,Barishal 
আমি জানি আমরার আর কোন দিন এপারে একলগে বই পড়া হইতনা,Mymensingh
বেগ সময় গান গুলা বেশ সুন্দর ভালা লাগে হুনতে,Mymensingh
নারিত্তুন ফোয়া চার,Chittagong
হেতি তার পরিবার রে ভালোবাসে,Noakhali
সেই ছোটবেলার কথা মনে পড়ে যতবার গান এইয়ান হুনী অতীতে ফিরে যাই খালি,Noakhali
তোমরা কিতা গল্পের বই পড়তে পসন্দ কর?,Mymensingh
মুই সাত মাস পেরেম কইরা একজনরে বিয়া করছি,Barishal 
মুই চাইয়ার আলেদা বাসাত যাইতাম গিয়া আমরা,Sylhet
১৫ দিনের ভিতরত আর বিয়া অইগিল,Chittagong
হের চেয়ে আমি দেখতে সুন্দর,Mymensingh
না করি দিও হোলারগোরে,Noakhali
"টিভিত মাত হুনা যায়, ছবিও দেখা যায়",Sylhet
আমি রাজি নায়,Sylhet
অঁনোরার অযোগ্য ফোয়া,Chittagong
সরিষার তেল অকালে চুল সাদা হওয়ন রোধ করে আর চুল পড়ন কমায়,Mymensingh
আমি কিতা অনেক মোডা ?,Mymensingh
সে হয়ত ফোড়িবেল্লাই লইয়ে,Chittagong
আই গেরামের হোলা ঢাকাত ওকগা হাইভেট বিশ্ববিদ্যালয়ে হড়াশোনা করি,Noakhali
সকাল অই গেছে,Noakhali
মুই চাইর মাস আগে পরিবারের পছন্দে বিয়া করছি,Barishal 
হ্যাগো চাওয়া না চাওয়ার গুরুত্ব দ্যান,Barishal 
কিছুই বোঝতে পারলাম না,Barishal 
তুওই ইয়ানে থ্যাইকলে আই খুশি,Noakhali
আম্মায় কুন্তা ওইলেউ আমারে পিটাপিটি করে,Sylhet
তুঁই হডে চ অরি গরর দে,Chittagong
বেয়াক্কুন মিলিয়েরে আনন্দ অর,Chittagong
 তাইন খালি মোর লগে দেখা খরার লাগি দেশো আইরা ,Sylhet
ব্যস্ত একটা দিন কাটাইলাম,Sylhet
আমি ফুটবল ম্যাচ ওকল দেখতে বালা ফাই,Sylhet
কিন্তু আমাদের তিন বছরের বাচ্চা হের কোনখানে দোষ?,Mymensingh
একমাত্র মাইয়ারাই ফারে অবলা পোলাদের সহজ সরল মনটা রে ফুটবল ভাইব্বা খেলা করতে,Mymensingh
মাইনষ'র বার্ধক্য আর মরণরে আটকানি যায় না,Sylhet
তুমিতাইন ওর কিতা নীল আকাশ দেখতে বালা লাগে না নি?,Sylhet
এউক্কা পোড়াবাড়ি আছে,Barishal 
বিয়ার হর মোডা অইব এই স্বপ্ন লই বাচি রাইছে হাজারো চিঅন মাইয়া..,Noakhali
মুই হ্যাগোরি একজন হইতে চাই,Barishal 
প্রথম দিকে আমি খারাপ ব্যবহার করতাম,Mymensingh
আমনের পড়াল্যাহা করা দরকার,Barishal 
মোর হাই বাসাত আইলেউ মোর কুছো মাথা রাখে,Sylhet
আঁর জামাই বিবিন্ন মাইফোয়ার ফোয়ারে আরা রাইত জাগি হতা হয়,Chittagong
হগল কিছু হুইননা বোঝলাম যে এহন আর এইহানে থাইককা কোন লাভ হইবে না,Barishal 
ফুড়িয়ে বহুতভাবে চেষ্টা খরে তার লগে কুনো ধরনর যুগাযুগ করতো পারছিল্‌ না,Sylhet
আর এবছর হেতে বিশাল করি সারপ্রাইজ দিছে আরে,Noakhali
"মাইয়ারা যে হারে ভদ্র পোলা খুঁজতাসে, ভয় লাগতাসে কোনো দিন আমি কিডন্যাপ হয়া না যাই",Mymensingh
আমার মা'য় আমারে বালা ফাইন,Sylhet
খাওয়া শেষ করিয়ে টেলিভিশনের সামনে যাই বইলো,Noakhali
তোয়ারে এককান উপহার দিতাম চাই,Noakhali
হেতনে আর লগে কি কইরলো আরে ও হেটাই কইরতে হবে,Noakhali
তো আই কিরতাম?,Noakhali
আমার বিলাইয়ের নাম মিনু,Mymensingh
শাড়িটায় আমারে কিলা লাগের,Sylhet
রুগীরে হাসপাতালে ভর্তি হইতে হইবে,Barishal 
আন্নের কি হরালেয়া কইত্তে একছের ভালা লাগে না,Noakhali
এইডা হুইন্না আব্বায় চেইত্যা ফোন কাইট্টা দেছে,Barishal 
ওজ্ঞা গুরা কালা কুত্তা কের অর মযে লুডি তাইক্কে,Chittagong
শিম বেক ধরনের মাডিতেই চাষ করন যায়,Mymensingh
আমার কফি বেশি পসন্দ,Mymensingh
ওউ দুউন্নাইত আমি ফুরাউ এখলা,Sylhet
এক্কান বিলাইর ফালনের খুব ইচ্ছা আর,Chittagong
হোলা ইউরোফ এ হরাশোনা করে,Noakhali
আমনে বাইচ্চা আছেন?,Barishal 
আর বাবা বেরাইম্মা অয় যাইবো,Chittagong
ওনে থানাত গিয়িরে এইজ্ঞো মামলা কইজ্জোন,Chittagong
কারোনর সমস্যা কি ঠিক অইয়ে না?,Chittagong
তোয়ার গানের গলা মেলা ভালা,Noakhali
বাংলাদেশে বিভিন্ন দুর্যোগপোরবণ অঞ্চল আছে,Barishal 
মোর আব্বা বেমার হাসপাতালো আর হে আইছে আমারে নেওয়াত,Sylhet
মোর কোন দোস্ত নাই,Barishal 
আজকে দেয়ালে পিঠ থেইক্কা গেসে,Mymensingh
চোখের আড়াল হয়া গেসে,Mymensingh
হরিবারে ছোড খাডো ঝামেলা থায়,Noakhali
তুই  দুইজ্জা  ভাত হাইয়ো নে?,Chittagong
আর দিকে রেনি ওকগা মাইয়া কইলো,Noakhali
হগোল সময় গানগুলা বেমালা ভালো লাগে হোনতে,Barishal 
"বাবার টেয়ার উওরত হায়, নেশা গরন হইজ্জে গরন নিয়মিত হাম।",Chittagong
মুই মোর গেরামের বাড়ি যামু ঠিক করছি,Barishal 
এহন হ্যারে আর ছাইররা দেওন যাইবে না,Barishal 
আঁই বাংলাদেশ ক্রিকেট দলরে সমর্তন গরি,Chittagong
অনরা যারা আঁরে এইযো ন চিনন,Chittagong
টেবিলত নাস্তা দি রাইক্কে,Chittagong
আঁই তোয়াঁরে আগে হনো অত্তে ন দেহি,Chittagong
"যত কষ্ট হোক বেগতা মাইন্না নিয়াম,তাও চিরদিন তোমারেই ভালাবাসবাম ",Mymensingh
রোগীরে হাসপাতালে থাইকতে অইবো,Noakhali
তুই আঁর ডাহদ্দি তাইক্তো চস নেম?,Chittagong
এইজ্ঞ মানুষ কি এনে এনে খারাপ হো,Chittagong
মেলা মাইনষেই শখের বসে কবুতর হালে,Noakhali
"বিয়াতে পোলাগো পক্ষ দাবি করছেলে দুজ্ঞা সোনার জিনিস চাই , মাইয়া পক্ষ হেইয়াতেই রাজি হইয়া গ্যালো",Barishal 
ইরে অপেক্ষা গরো,Chittagong
মাইয়াগা দেইখতে যথেষ্ট সুন্দরী,Noakhali
উউ ছবিখান দেখলে বুজা যায় আমরার দেশর লাগি খতো খষ্ট করছইন মুক্তিযুদ্ধা ভাইসাবরা ,Sylhet
হে মাঠ-ও আইছে না,Sylhet
ভালা মানুষ বলে বেশিদিন বাঁচে না এটা হুনবার হরেদি টেনশনে আছি,Noakhali
আমারার চলতেই পারে না,Mymensingh
কয়ডা দিন অপেক্ষা কইররা দ্যাহো,Barishal 
ইতে এহন রাজশাহী গেইয়্যুই,Chittagong
হ্যারা দুইজন ফিররা নিউজিল্যান্ড ফেরত যাইবে,Barishal 
তোমার গানের গলা মেলা ভালা,Mymensingh
মিছা মাত মাতিও না,Sylhet
ইতে বেশী অলস এইজ্ঞ হাজো সময় মতো নো গরে,Chittagong
মুই খইমু আফনে তালাকর পথ বাছিয়া লইন ,Sylhet
পুকইরো বাক্কা সুন্দর এখটা পাখি দেখতো পাইলো ,Sylhet
তুউই কি চাকরি করোয়ের,Noakhali
ছবি তোলার বাদে আমারে কিলা লাগে?,Sylhet
ইবার চোক অরিনর নান,Chittagong
তাইন বিদেশ তনে আইছোইন,Sylhet
সফরি একটা মজার ফল,Sylhet
আমার চাচা শ্বশুর বেহেই আলহামদুলিল্লাহ নিজেরার বাড়ি গাড়ি কইরা ফালাইসেন,Mymensingh
গেদাকালের সৃতি মনে পইড়া যায়,Barishal 
এই ছবিডা দেখলে বুঝান যায় আমরার দেশের লাইজ্ঞা কতো কষ্ট করসে মুক্তিযোদ্ধা ভাইয়েরা,Mymensingh
"একটাই পৃথিবী, কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম",Mymensingh
আফনের ব্লগডা পইড়া অনেক কিছু শিখতাম ফারসি,Mymensingh
নাহোইল হইতে নাহোইল পানি পাওন যায়,Barishal 
বাফরে বাফ! যে বড় মিছিল,Sylhet
আমার সুখ দেইক্ষা আবার তারার সহ্য হয়না,Mymensingh
আমি গান গাইতাম চাই,Mymensingh
মায় ম্যালা সইয়া এত্তো বছর সংসার কইররা গ্যাছে,Barishal 
আর স্কুলে মেলা বনদু আছে ,Noakhali
আইজ ওর আবহাওয়াটা যে সুন্দর,Sylhet
তোঁয়ার ফ্রিয় গান হনওয়া?,Chittagong
মেঠো ফতর দুইপাসদ্দি সবুজ ধান কেত,Chittagong
সকল বাধা পার হয়া জীবনে সফল হইতে হইব,Mymensingh
আরেক্কেনা ডর অই গেইলে কেন গরিবা ,Chittagong
নো  বুঝিয়েরে এদুজ্ঞুন খতা কেনে কইত ফারো,Chittagong
আমি ফুটবল খেলতাম ভালবাসি,Mymensingh
হাত তালি দিয়া কি পড়া যায়?,Barishal 
"কাউরে আবেগের ভালোবাসা দিও না, মনের ভালোবাসা দিও",Barishal 
কোনো ভাবেই ওয়াশা হানি দেয়র না,Noakhali
হে ঠিক ওউ মাতছে,Sylhet
বাংলাদেশ ওর ক্রিকেট দল শক্তিশালী দল ওকলতোর মাঝে একটা,Sylhet
আঁর বন্দু আঁর বেজ্ঞিন হতা কুব মনোযোগ দি ফুঁনে,Chittagong
তুমিতাইন ওর কোন গান বেশি বালা লাগে?,Sylhet
তোঁয়ারে চুইবর লাই চাই অনুমতি,Chittagong
নিজের হছন্দে বিয়া করাটা উচিত অয়নো,Noakhali
ছয় ঋতুর দেশ বাংলাদেশ,Mymensingh
চলো তে একলগে মাছ ধরি,Sylhet
হে আর লগে এইডা কইরছে আইও হেতার লগে এইডা কইরগুম,Noakhali
তোয়ারে ছাড়া আই ভালা নাই ,Noakhali
তাদের দুইজনের বিয়া হওয়ার কথা আসিল,Mymensingh
আমি সহালে পড়তে বই ,Mymensingh
বউ এর চেয়ে তোমারে বেশী সুন্দর লাগলে কিন্তু সমস্যা,Mymensingh
আমার তো লাগে ফুরিন্তোর বউট্টি ডেট করা উচিত,Sylhet
বিয়াত হোলাহক্ক দাবি কইচ্ছে দুগা স্বর্নের জিনিস মাইয় হক্ক রাজি অই গেছে,Noakhali
ওখন আবার একগু ফুরিরে বউত বালা ফাই,Sylhet
বড্ডা আপা কিছু হেয়ারা কিনলো,Noakhali
এক সমত যাই যদি হয় সে দরি রাকিত্তাইত্তো,Chittagong
তোঁয়ারে আঁই কল ন দিয়ুম,Chittagong
নারিকেল থাইক্কা নাইরকেল পানি পাওয়ন যায়,Mymensingh
আর দুইয়ান বিয়া অইয়ে,Chittagong
পেরতেকদিন হতাশার মইধ্যে ডুইব্বা যাইতেয়াছি এইয়ার মুক্তি পামু ক্যামনে?,Barishal 
আই আগে নো‌ চাই,Chittagong
আর সইহ্য কইরতাম না হারি আন্নেগো কাছে সঠিক হরামর্শ চাইতেছি,Noakhali
ছোডো খালার বাড়িতে হ্যার বাড়ি গোনে পড়ালেহা কইররা ইন্টার পরীক্ষা দিছি,Barishal 
রাগি গেইলেন তো আরি গেইলেন,Chittagong
বাংলাদেশের বর্তমান পরধানমন্ত্রীর নাম শেখ হাসিনা,Barishal 
ফুরিরে পড়তে দিছলা নি?,Sylhet
আফনের পরামর্শ দেন আমি কিতা করবাম,Mymensingh
বইষ্যা বাইরা তাপমাত্রা কমার সুখবর দিছে আবহাওয়া অপিস,Barishal 
আব্বা একদিন কথায় কথায় মারে কইলেন,Mymensingh
মাইয়াডা সিলেট থেইকা আশা পোলাডারে অনেক ভালোবাসে,Noakhali
তুঁই কি চ অরি গরর দে নে,Chittagong
আঁর মা আঁরে বউত বালোবাসে,Chittagong
উপহার দিতে অনেকের ভালা লাগে,Mymensingh
তারফর আই আবার ভুল গরি বেলাইয়ি,Chittagong
মুই মোর পরিবারের লগে কথা কইতে চাই,Barishal 
হকলতাত ওউ তার উলটপালট মাত কথা,Sylhet
এমন কিসু করবাম যাতে হের কাসে আমার না যাইতে হয়,Mymensingh
পোলা বাংলাদেশে আয়া বিয়া ঠিক করসে,Mymensingh
 মোরে বুঝে মোর হখল খতা হুনে,Sylhet
ক্রিকেট খেলা তোমার কেমন লাগে?,Mymensingh
আফনে নিজে কিচ্ছু করার চেষ্টা খরইন যাতে পরিবারর হায় অয়,Sylhet
জামাই হিসাবে পুরাপুরি ঠিক,Sylhet
তোঁয়ারে লই আঁযি যায়্যুম আসসান অর নিল অত,Chittagong
লেই শিক্ষকের কাছে জমা দাও,Noakhali
মুই মোর বুইনের চাইয়া ম্যালা বছরের ছোডো,Barishal 
বাক্কা কম সময় ওউ তার মায়াত পড়ি গেছি,Sylhet
ক্রিকেট খেলা তোয়ার কেইকান লাগে,Noakhali
বাসাত ডরে হইন্নুফারির,Chittagong
মোর ছোডো বুইন নানা বাড়ি ঘোরতে গ্যাল্লেহ,Barishal 
হেয় চানাচুর বেচতে  আয়,Mymensingh
হেয় হের বাপের বাড়িতে থাকতে নাকি ১০ টার আগে ঘুম থাইক্কা উঠতো নাহ,Mymensingh
মোর সব শ্যাষ হইয়া যাইবে,Barishal 
তুমারে কান্দাত আইয়া জড়াইয়া ধরা বাকি,Sylhet
আমার মনে হইতাসে আমি জাইন্না গেসি হুনলে ওরা আমারে খুন করতেও দুইবার ভাববো না,Mymensingh
আর মা বেয়াক হাম এহ্লা গইজ্জে,Chittagong
তুমিতাইন বেশি মাতো,Sylhet
ফুয়াইন্তর লাগি দুনিয়াত সব চাইতে দামী অইলো ফুড়িন্তর হাসি,Sylhet
এক সময় যাই যদি কই যে ধরি রাইখলেই তো হাইরতা,Noakhali
অলান নায় যে আমি দেখতে বাদ ,Sylhet
ফোয়াওক্কল বালবাসার অবিনয় গইরতে গইরতে হত্তে যে আঁচা আঁচা বালবাসি ফেলাই ইতারা নিজেরাও হইত ন ফারে,Chittagong
মাইয়া ইবা সারাক্ষন মিথ্যা হতা খো,Chittagong
আর ফরিবার বেগুনের লয় ও হতা খোক ইবা চাই,Chittagong
আলহামদুলিল্লাহ সে এক্কান ভালা মানুষ,Chittagong
একটা মাইয়া ছয়টা পোলার লগে প্রেম করসে,Mymensingh
তোমরা কি কেসসার বই পড়তে পছন্দ কর?,Barishal 
শইষ্যার তৈল রাইনবার লাই ও গায়ে দিবার লাই ব্যবহার করা হয়,Noakhali
সমান দুজ্ঞা টুকরা হইয়া গ্যাছে,Barishal 
ঠিক করন অইলো বেকে মিলি যাইয়ুম,Noakhali
ওজ্ঞা ফোয়া বিচানাত ফালার,Chittagong
বার্সেলোনা ফুটবল ক্লাব  বাক্কা জনপ্রিয় ,Sylhet
আমরা ঢাকায় থাহি,Mymensingh
বিয়ার বাদে তুমিতাইন বদলি গেছো,Sylhet
মাইয়ারা ভালোবাসতে বাসতে যে কহন আসলেই অভিনয় শুরু করে হ্যারা হেইয়া নিজেও জানেনা,Barishal 
এই ছবির বেগ গানগুলাই মেলা সুন্দর,Mymensingh
আত মুখ দুইয়েরে হাইবেল্লাই বইসসে,Chittagong
মুই মনে কয় ভুল মানের লগে সংসার শুরু করছি,Barishal 
পলাশর হতাত বিরক্ত কিললাই অইলে?,Chittagong
আমারে ওইহানে নিয়া চল,Mymensingh
আমি সিলেট থাহি,Mymensingh
কয়েকদিন বাদে সুদান ফিরত বেডাটা বিয়া করে,Mymensingh
বিলাইয়ের প্রিয় খাদ্য দুধ,Mymensingh
হিতানে হুইয়া টিবি দ্যাখতেয়াছেলাম,Barishal 
কিন্তু তুমি এখন অতউ ভালা আছো যেন আমি মানতাম ফারিয়ার না ,Sylhet
বাইরে বেশ কিছু মানুষ ঘুইরা বেড়াইতাসে,Mymensingh
"চুল ফরার সমইস্যা লই ডাক্তরর এডে গেইলাম, যাই এরে দেই ডাক্তর নিজেই টাক",Chittagong
আমি সকাইলকু দেরি করি ঘুম তনে উঠি,Sylhet
বিদেশ ঘুরাত যাওয়া আমার স্বপ্ন,Sylhet
শেষ করলাম বেগকিসু,Mymensingh
মোর ফোন নাম্বার বোলোক কইররা দ্যায়,Barishal 
এখন পর্যন্ত ভালা লাগে গানটা,Sylhet
"টমেটোর বাজারে যে আগুন, সাধারণ মাইনষের কাসে তা এহন আর নতুন কোন খবর না",Mymensingh
আমার ঘড়ীটা খুইজ্জা পাইতাসি না,Mymensingh
ফোয়ার ফরিবার ভালা বহুত আসিল,Chittagong
দিন দিন মানসিক ভাবে অসুস্থ অই যাইতেছি,Noakhali
আমনেগো কি শুক্কুরবার বেইন্নাকালে সময় হইবে?,Barishal 
ঘামে শরীর এর তুন যেই. খনিজ লবন ও হানি বাইর অই যায় হেটার মেলাটায় পুরন কইরতাম হারে লাউ,Noakhali
ঐ বেডীর ওদ্দে ইতে মিলি আরে গালাগালি গরার তাকে,Chittagong
সুস্থ দেহ ও হশান্ত মন ওকগা মাইনষের বেকের তুন বড্ডা সম্পদ,Noakhali
হেই আমগাছের দিকে তাকায়া আসিলাম ,Mymensingh
আই ড্রয়িংরুমত বইয়েরে ছবি আঁকতাম ভালোবাসি,Chittagong
মাইয়ার মা একদিনউ আরার বাড়ি নো আইয়ে,Chittagong
দাদির কাসে একটা পুরাতন সিন্দুক আসে,Mymensingh
হেতে আকাশে উড়ন্ত পাখির গান হুনাইতেই মন খুশি অই গেছে,Noakhali
খালি তাকায়া থাকতে ইচ্ছা করে,Mymensingh
মোর জামাই নিজের পছন্দে মোরে বিয়া করছে,Barishal 
আমার বিয়ার দশ বছর অর,Sylhet
আঁই কুরার গোস্ত বেশি পচন্দ গরি,Chittagong
আঁত্তুন নিল আসসান চাইতো গম লাগে,Chittagong
আন্নের লগে পরিচয় অই ভালা লাইগছে,Noakhali
চা অথবা কফি কোনডা বেশি পসন্দ ?,Mymensingh
হেয় প্রচন্ড অলস একটা কাজ সময়মতো করতে পারে না,Mymensingh
আর কোনদিন মনে অয় ন আই কিল্লেই ছোডো অইয়ুম,Noakhali
একটা ছুটো আবু ফুটপাতে হাটতাসে,Mymensingh
একটা চানাচুরআলারে দেখা যাইরো,Sylhet
তোমার হেই মোন মুই নিয়া নিলাম,Barishal 
 বাক্কা ছাত্রছাত্রী নয়া ভর্তি অইছইন,Sylhet
আফনে কহনোই ফারবেন না অন্য কারও ভালোবাসারে ছিনায়া নিতে কিংবা জোর কইরা অন্যের ভালো লাগার মানুষ হইতে,Mymensingh
বেশি টান্ডাও না আবার বেশি গরমও না এরম আবহাওয়া লাউ চাষের লাগি ভালা,Sylhet
মায় এইডি দেইখ্যা বেমালা কষ্ট পাইতেয়াছে যেহেতু মোর বাপ নাই,Barishal 
কাউরে তোমার কথা হুনাইতে হতে আগে তুমি তার কথা হুনো,Mymensingh
বেক অঞ্চলের মাইনষের ভাষা এক রকমের ন,Noakhali
আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,Mymensingh
ক্লাস নাইনত আরার ফ্রথম হতা অয় আরার ফেসবুকত,Chittagong
নীল আকাশের তলে দি তোয়ার আত ধরি আডি যাইতাম চাই,Noakhali
পাশে থাকিও সারাজীবন দূরে যাইয়ো না ,Noakhali
যে মাথাত বেদনা ধরছিল,Sylhet
মার কতা কদিন আগে আই হেতনরে ওকগা কষ্টের কথা কইছি,Noakhali
হ্যায় চেইত্যা গ্যাল্লেহ,Barishal 
আমি একজন খারাপ মানুষ,Mymensingh
মোর হউরবাড়ির মানু এইডা এক্কালেই পছন্দ করে না,Barishal 
যে নেছে হ্যায় হয়তো পড়ার লইজ্ঞাই নেছে,Barishal 
তয় মুই হ্যারে এহনো ভালবাসি,Barishal 
পলাশর নানা নানি একই দিনত ইন্তেকাল গইজ্জে,Chittagong
"মুই তো বাফ , মুই মোর ফুড়ির মুকর দিকে চাইয়া বহুত্তা বুজতাম ফারি",Sylhet
মোর মুনে অর মুই ভুল মাইনশর লগে সংসার শুরু খরছি,Sylhet
